sample-id	sample-name	location	treatment	location+treatment	comparison
#q2:types	categorical	categorical	categorical	categorical	categorical
CO2_L1	CO2_1	Shoot	eCO2	eCO2-Shoot	testt
CO2_L2	CO2_2	Shoot	eCO2	eCO2-Shoot	test
CO2_L3	CO2_3	Shoot	eCO2	eCO2-Shoot	test
CO2_R1	CO2_1	Root	eCO2	eCO2-Root	test
CO2_R2	CO2_2	Root	eCO2	eCO2-Root	test
CO2_R3	CO2_3	Root	eCO2	eCO2-Root	test
FC_L1	FCO2_1	Shoot	flood+CO2	flood+CO2-Shoot	test
FC_L2	FCO2_2	Shoot	flood+CO2	flood+CO2-Shoot	test
FC_L3	FCO2_3	Shoot	flood+CO2	flood+CO2-Shoot	test
FC_R1	FCO2_1	Root	flood+CO2	flood+CO2-Root	test
FC_R2	FCO2_2	Root	flood+CO2	flood+CO2-Root	test
FC_R3	FCO2_3	Root	flood+CO2	flood+CO2-Root	test
FL1	FL1	Shoot	flooding	flooding-Shoot	test
FL2	FL2	Shoot	flooding	flooding-Shoot	test
FL3	FL3	Shoot	flooding	flooding-Shoot	test
FR1	FR1	Root	flooding	flooding-Root	test
FR2	FR2	Root	flooding	flooding-Root	test
FR3	FR3	Root	flooding	flooding-Root	test
L1C	L1C	Shoot	control	control-Shoot	control
L2C	L2C	Shoot	control	control-Shoot	control
L3C	L3C	Shoot	control	control-Shoot	control
R1C	R1C	Root	control	control-Root	control
R2C	R2C	Root	control	control-Root	control
R3C	R3C	Root	control	control-Root	control
